Unicon UUID,Agent Call Duration,Agent Call Pulses,Agent Call Cost (INR),Call Recording Duration,Call Recording Pulses,Call Recording Cost (INR),Call Duration,Call Pulses,Call Cost (INR),SMSs Sent,SMSs Unit,SMSs Cost (INR),Emails Unit,Emails Cost (INR),STT Call Pulses,STT Cost (INR),TTS Call Pulses,TTS Cost (INR),Total Additional Services Cost (INR),Total Cost (INR),,
UUID_A1,10|20,5|10,1|2,30,15,3,15|25,7|12,1.5|2.5,2,1,0.5,1,0.2,10,0.8,5,0.4,1.9,10,,
UUID_A2,,,,,,,40,20,4,1,1,0.3,2,0.4,0,0,0,0,0.7,5,,
UUID_B1,30,15,3,60|70,30|35,6|7,,,,0,0,0,0,0,5,0.3,2,0.1,0.4,3,,
UUID_B2,40|50|60,20|25|30,2|2.5|3,90,45,9,5|10,2|5,0.5|1,3,1,0.7,1,0.1,0,0,0,0,0.8,8,,
UUID_C1,25,12,2.5,120|130,60|65,12|13,35,18,3.5,0,0,0,0,0,8,0.6,3,0.2,0.8,6,,
UUID_C2,15|18,8|9,1.5|1.8,150,75,15,10,5,1,4,1,0.9,3,0.6,12,1,6,0.5,3,15,,
UUID_D1,,,,,,180|190,90|95,18|19,20,10,2,15|20,7|9,1.5|2.0,0,0,0,0,0,2,12,
UUID_D2,35,17,3.5,210,105,21,20|22,10|11,2|2.2,1,1,0.2,1,0.3,3,0.1,1,0.05,0.65,4,,
UUID_E1,45|55,22|27,2.2|2.7,240|250,120|125,24|25,28,14,2.8,2,1,0.4,2,0.5,7,0.55,4,0.3,1.25,9,,
UUID_E2,55,27,2.7,270,135,27,30|33,15|16,3|3.3,0,0,0,0,0,9,0.7,5,0.45,1.15,7,,
UUID_F1,100,50,10,300,150,30,60|70|80,30|35|40,6|7|8,5,1,1,4,0.8,15,1.2,7,0.6,3.6,20,,
UUID_F2,,,,,,330,165,33,40,20,4,1,1,0.1,1,0.2,2,0.15,1,0.08,0.43,6
UUID_G1,70|80,35|40,7|8,360|370,180|185,36|37,,,,0,0,0,0,0,10,0.9,3,0.25,1.15,18,,
UUID_G2,90,45,9,390,195,39,50|55,25|27,5|5.5,2,1,0.3,2,0.7,6,0.4,4,0.35,1.75,11,,
UUID_H1,200|220|240,100|110|120,20|22|24,420,210,42,70,35,7,3,1,0.6,1,0.15,18,1.5,8,0.7,2.95,25,,
UUID_H2,110,55,11,450|460,225|230,45|46,80|85,40|42,8|8.5,0,0,0,0,0,4,0.2,2,0.1,0.3,8,,
UUID_I1,,,,,,480,240,48,,,,1,1,0.25,3,0.55,9,0.65,5,0.4,1.85,15
UUID_I2,120|130,60|65,12|13,510|520,255|260,51|52,90,45,9,4,1,0.8,2,0.3,11,0.95,6,0.55,2.6,22,,
UUID_J1,140,70,14,540,270,54,100|110,50|55,10|11,0,0,0,0,0,5,0.35,3,0.2,0.55,10,,
UUID_J2,150|160,75|80,15|16,570|580,285|290,57|58,0,1,,2,1,0.45,1,0.05,13,1.1,7,0.65,2.25,17,,
